Crush the Candy Boys,5745865 4966334 2204515,1541323 7405768 2204515
Penta-force,16407679 14305018 4230454 12024753,7279762
absolutno pofig,5504231 11558207 7835664 7645522,5504231 5420543
Memers,22511008 22723833,22511008 22723833
cat enjoyers,10183830 8722791 3376777 11387664,2117344
Δ = b² – 4ac,2313166 7198334 8682057 3914271,11334594
GokuLook Princesa,17584310 15308238 7567228 6961543,15632854
Shinquot ,9704802 7201269 4338923 9839375,6404824
Howling Abyss,4694602 2688581 1634445,4694602 2688581 1634445
ULTRA ICE TEA,7288862 17190075 12196931 4294993,10959366
Team Funny,7160660 4887938 12270596 3866821,7354700
papapa,8064649 3121234 10910405 10631018,6886572
Crazy Thursday,3161834 1243669 2495509 3621552,3621552 1243669 1806962
Blue Raspberry ICEE,14339830 3906405 10374819 7149815,7149815 6607303
dreamers,29665779 17416390,17416390
